HOSTNAME,IFACE,FUNC,PARENT_PCI,PARENT_IFACE,BOND,CURR_MAC,PERM_MAC,SERIAL,PN,FW,STATUS,TYPE,PCI,MODEL_DESCRIPTION
"pdx-g22r13-2894-lh2-w01","eth0","PF","N/A","N/A","N/A","b8:e9:24:b3:9b:ea","b8:e9:24:b3:9b:ea","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:19:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth1","PF","N/A","N/A","N/A","b8:e9:24:b3:a5:32","b8:e9:24:b3:a5:32","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:2a:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth10","PF","N/A","N/A","bond0","02:1d:13:27:92:91","58:a2:e1:f9:19:6a","JZ00FKFC","N/A","32.42.1000 (LNV0000000066)","up","SmartNIC","0000:d8:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth11","PF","N/A","N/A","bond0","02:1d:13:27:92:91","58:a2:e1:f9:19:6b","JZ00FKFC","N/A","32.42.1000 (LNV0000000066)","up","SmartNIC","0000:d8:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth2","PF","N/A","N/A","N/A","b8:e9:24:b3:a5:74","b8:e9:24:b3:a5:74","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:3b:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth3","PF","N/A","N/A","N/A","b8:e9:24:b3:76:46","b8:e9:24:b3:76:46","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:4c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth4","PF","N/A","N/A","N/A","e0:9d:73:fb:08:b2","e0:9d:73:fb:08:b2","JZ00FKFC","N/A","26.42.1000 (LNV0000000036)","down","Generic-NIC","0000:5a:00.0","Mellanox Technologies MT2894 Family [ConnectX-6 Lx]"
"pdx-g22r13-2894-lh2-w01","eth5","PF","N/A","N/A","N/A","e0:9d:73:fb:08:b3","e0:9d:73:fb:08:b3","JZ00FKFC","N/A","26.42.1000 (LNV0000000036)","down","Generic-NIC","0000:5a:00.1","Mellanox Technologies MT2894 Family [ConnectX-6 Lx]"
"pdx-g22r13-2894-lh2-w01","eth6","PF","N/A","N/A","N/A","b8:e9:24:b3:69:62","b8:e9:24:b3:69:62","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:9b:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth7","PF","N/A","N/A","N/A","b8:e9:24:b3:81:b4","b8:e9:24:b3:81:b4","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:ab:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth8","PF","N/A","N/A","N/A","b8:e9:24:b3:81:ca","b8:e9:24:b3:81:ca","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:c1:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r13-2894-lh2-w01","eth9","PF","N/A","N/A","N/A","b8:e9:24:b3:99:82","b8:e9:24:b3:99:82","JZ00FKFC","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:cb:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth0","PF","N/A","N/A","N/A","c4:cb:e1:e5:c2:18","c4:cb:e1:e5:c2:18","16TP664","N/A","FFV23.21.6 bc 5720-v1.39","down","Generic-NIC","0000:02:00.0","Broadcom Inc. and subsidiaries NetXtreme BCM5720 Gigabit Ethernet PCIe"
"pdx-g22r23-2894-dh2-w03","eth1","PF","N/A","N/A","N/A","c4:cb:e1:e5:c2:19","c4:cb:e1:e5:c2:19","16TP664","N/A","FFV23.21.6 bc 5720-v1.39","down","Generic-NIC","0000:02:00.1","Broadcom Inc. and subsidiaries NetXtreme BCM5720 Gigabit Ethernet PCIe"
"pdx-g22r23-2894-dh2-w03","eth10","PF","N/A","N/A","N/A","c4:70:bd:78:af:32","c4:70:bd:78:af:32","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:cc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth11","PF","N/A","N/A","N/A","c4:70:bd:78:b5:62","c4:70:bd:78:b5:62","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:dc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth2","PF","N/A","N/A","N/A","c4:70:bd:78:bc:6e","c4:70:bd:78:bc:6e","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:1a:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth3","PF","N/A","N/A","N/A","c4:70:bd:78:c3:7a","c4:70:bd:78:c3:7a","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:3c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth4","PF","N/A","N/A","N/A","c4:70:bd:78:b9:82","c4:70:bd:78:b9:82","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:4d:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth5","PF","N/A","N/A","N/A","c4:70:bd:78:ae:da","c4:70:bd:78:ae:da","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:5e:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth6","PF","N/A","N/A","N/A","c4:70:bd:78:ae:98","c4:70:bd:78:ae:98","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:9c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth7","PF","N/A","N/A","bond0","6a:80:fa:64:fc:e8","5c:25:73:2a:35:c2","16TP664","N/A","32.44.1036 (MT_0000000884)","up","SmartNIC","0000:9d:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth8","PF","N/A","N/A","bond0","6a:80:fa:64:fc:e8","5c:25:73:2a:35:c3","16TP664","N/A","32.44.1036 (MT_0000000884)","up","SmartNIC","0000:9d:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r23-2894-dh2-w03","eth9","PF","N/A","N/A","N/A","c4:70:bd:78:ad:bc","c4:70:bd:78:ad:bc","16TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:bc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth0","PF","N/A","N/A","N/A","ec:e7:a7:0e:21:74","ec:e7:a7:0e:21:74","WIH29070001","N/A","9.40 0x8000ecd4 1.3534.0","down","Generic-NIC","0000:b9:00.0","Intel Corporation Ethernet Controller X710 for 10GBASE-T (rev 02)"
"pdx-g22r31-2894-ch2-w05","eth1","PF","N/A","N/A","N/A","ec:e7:a7:0e:21:75","ec:e7:a7:0e:21:75","WIH29070001","N/A","9.40 0x8000ecd4 1.3534.0","down","Generic-NIC","0000:b9:00.1","Intel Corporation Ethernet Controller X710 for 10GBASE-T (rev 02)"
"pdx-g22r31-2894-ch2-w05","eth10","PF","N/A","N/A","N/A","b8:e9:24:ed:2c:64","b8:e9:24:ed:2c:64","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:cd:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth11","PF","N/A","N/A","N/A","b8:e9:24:ec:a2:7c","b8:e9:24:ec:a2:7c","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:9c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth2","PF","N/A","N/A","N/A","b8:e9:24:ec:88:b4","b8:e9:24:ec:88:b4","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:69:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth3","PF","N/A","N/A","N/A","b8:e9:24:ec:87:12","b8:e9:24:ec:87:12","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:09:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth4","PF","N/A","N/A","N/A","b8:e9:24:ec:c5:c6","b8:e9:24:ec:c5:c6","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:53:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth5","PF","N/A","N/A","bond0","4e:78:a4:74:81:00","c4:70:bd:b8:23:52","WIH29070001","N/A","32.41.1300 (MT_0000000965)","up","SmartNIC","0000:35:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth6","PF","N/A","N/A","bond0","4e:78:a4:74:81:00","c4:70:bd:b8:23:53","WIH29070001","N/A","32.41.1300 (MT_0000000965)","up","SmartNIC","0000:35:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth7","PF","N/A","N/A","N/A","b8:e9:24:ec:85:02","b8:e9:24:ec:85:02","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:23:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth8","PF","N/A","N/A","N/A","b8:e9:24:eb:13:24","b8:e9:24:eb:13:24","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:f1:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth9","PF","N/A","N/A","N/A","b8:e9:24:ec:d2:94","b8:e9:24:ec:d2:94","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:8f:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth0","PF","N/A","N/A","N/A","c4:70:bd:a0:cc:9c","c4:70:bd:a0:cc:9c","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:19:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth1","PF","N/A","N/A","N/A","c4:70:bd:a0:c9:9a","c4:70:bd:a0:c9:9a","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:2a:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth10","PF","N/A","N/A","bond0","be:36:36:49:d6:e3","58:a2:e1:f8:f7:de","JZ00ELP8","N/A","32.42.1000 (LNV0000000066)","up","SmartNIC","0000:d8:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth11","PF","N/A","N/A","bond0","be:36:36:49:d6:e3","58:a2:e1:f8:f7:df","JZ00ELP8","N/A","32.42.1000 (LNV0000000066)","up","SmartNIC","0000:d8:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
