HOSTNAME,IFACE,FUNC,PARENT_PCI,PARENT_IFACE,BOND,CURR_MAC,PERM_MAC,SERIAL,PN,FW,STATUS,TYPE,PCI,MODEL_DESCRIPTION
"pdx-g22r31-2894-ch2-w05","eth0","PF","N/A","N/A","N/A","ec:e7:a7:0e:21:74","ec:e7:a7:0e:21:74","WIH29070001","N/A","9.40 0x8000ecd4 1.3534.0","down","Generic-NIC","0000:b9:00.0","Intel Corporation Ethernet Controller X710 for 10GBASE-T (rev 02)"
"pdx-g22r31-2894-ch2-w05","eth1","PF","N/A","N/A","N/A","ec:e7:a7:0e:21:75","ec:e7:a7:0e:21:75","WIH29070001","N/A","9.40 0x8000ecd4 1.3534.0","down","Generic-NIC","0000:b9:00.1","Intel Corporation Ethernet Controller X710 for 10GBASE-T (rev 02)"
"pdx-g22r31-2894-ch2-w05","eth10","PF","N/A","N/A","N/A","b8:e9:24:ed:2c:64","b8:e9:24:ed:2c:64","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:cd:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth11","PF","N/A","N/A","N/A","b8:e9:24:ec:a2:7c","b8:e9:24:ec:a2:7c","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:9c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth2","PF","N/A","N/A","N/A","b8:e9:24:ec:88:b4","b8:e9:24:ec:88:b4","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:69:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth3","PF","N/A","N/A","N/A","b8:e9:24:ec:87:12","b8:e9:24:ec:87:12","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:09:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth4","PF","N/A","N/A","N/A","b8:e9:24:ec:c5:c6","b8:e9:24:ec:c5:c6","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:53:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth5","PF","N/A","N/A","bond0","4e:78:a4:74:81:00","c4:70:bd:b8:23:52","WIH29070001","N/A","32.41.1300 (MT_0000000965)","up","SmartNIC","0000:35:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth6","PF","N/A","N/A","bond0","4e:78:a4:74:81:00","c4:70:bd:b8:23:53","WIH29070001","N/A","32.41.1300 (MT_0000000965)","up","SmartNIC","0000:35:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth7","PF","N/A","N/A","N/A","b8:e9:24:ec:85:02","b8:e9:24:ec:85:02","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:23:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth8","PF","N/A","N/A","N/A","b8:e9:24:eb:13:24","b8:e9:24:eb:13:24","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:f1:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g22r31-2894-ch2-w05","eth9","PF","N/A","N/A","N/A","b8:e9:24:ec:d2:94","b8:e9:24:ec:d2:94","WIH29070001","N/A","32.42.1000 (MT_0000001070)","down","SuperNIC","0000:8f:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
