HOSTNAME,IFACE,FUNC,PARENT_PCI,PARENT_IFACE,BOND,CURR_MAC,PERM_MAC,SERIAL,PN,FW,STATUS,TYPE,PCI,MODEL_DESCRIPTION
"pdx-g24r13-2894-lh2-w02","eth0","PF","N/A","N/A","N/A","c4:70:bd:a0:cc:9c","c4:70:bd:a0:cc:9c","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:19:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth1","PF","N/A","N/A","N/A","c4:70:bd:a0:c9:9a","c4:70:bd:a0:c9:9a","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:2a:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth10","PF","N/A","N/A","bond0","be:36:36:49:d6:e3","58:a2:e1:f8:f7:de","JZ00ELP8","N/A","32.42.1000 (LNV0000000066)","up","SmartNIC","0000:d8:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth11","PF","N/A","N/A","bond0","be:36:36:49:d6:e3","58:a2:e1:f8:f7:df","JZ00ELP8","N/A","32.42.1000 (LNV0000000066)","up","SmartNIC","0000:d8:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth2","PF","N/A","N/A","N/A","c4:70:bd:a0:c9:c6","c4:70:bd:a0:c9:c6","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:3b:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth3","PF","N/A","N/A","N/A","c4:70:bd:a0:c9:b0","c4:70:bd:a0:c9:b0","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:4c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth4","PF","N/A","N/A","N/A","e0:9d:73:b9:4b:48","e0:9d:73:b9:4b:48","JZ00ELP8","N/A","26.42.1000 (LNV0000000036)","down","Generic-NIC","0000:5a:00.0","Mellanox Technologies MT2894 Family [ConnectX-6 Lx]"
"pdx-g24r13-2894-lh2-w02","eth5","PF","N/A","N/A","N/A","e0:9d:73:b9:4b:49","e0:9d:73:b9:4b:49","JZ00ELP8","N/A","26.42.1000 (LNV0000000036)","down","Generic-NIC","0000:5a:00.1","Mellanox Technologies MT2894 Family [ConnectX-6 Lx]"
"pdx-g24r13-2894-lh2-w02","eth6","PF","N/A","N/A","N/A","c4:70:bd:a0:cb:ec","c4:70:bd:a0:cb:ec","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:9b:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth7","PF","N/A","N/A","N/A","c4:70:bd:a0:d2:5e","c4:70:bd:a0:d2:5e","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:ab:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth8","PF","N/A","N/A","N/A","c4:70:bd:a0:cc:5a","c4:70:bd:a0:cc:5a","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:c1:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r13-2894-lh2-w02","eth9","PF","N/A","N/A","N/A","c4:70:bd:a0:c9:f2","c4:70:bd:a0:c9:f2","JZ00ELP8","N/A","32.42.1000 (LNV0000000071)","down","SuperNIC","0000:cb:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
