HOSTNAME,IFACE,FUNC,PARENT_PCI,PARENT_IFACE,BOND,CURR_MAC,PERM_MAC,SERIAL,PN,FW,STATUS,TYPE,PCI,MODEL_DESCRIPTION
"pdx-g24r23-2894-dh2-w04","eth0","PF","N/A","N/A","N/A","c4:cb:e1:e5:c2:46","c4:cb:e1:e5:c2:46","J5TP664","N/A","FFV23.21.6 bc 5720-v1.39","down","Generic-NIC","0000:02:00.0","Broadcom Inc. and subsidiaries NetXtreme BCM5720 Gigabit Ethernet PCIe"
"pdx-g24r23-2894-dh2-w04","eth1","PF","N/A","N/A","N/A","c4:cb:e1:e5:c2:47","c4:cb:e1:e5:c2:47","J5TP664","N/A","FFV23.21.6 bc 5720-v1.39","down","Generic-NIC","0000:02:00.1","Broadcom Inc. and subsidiaries NetXtreme BCM5720 Gigabit Ethernet PCIe"
"pdx-g24r23-2894-dh2-w04","eth10","PF","N/A","N/A","N/A","c4:70:bd:78:ad:7a","c4:70:bd:78:ad:7a","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:cc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth11","PF","N/A","N/A","N/A","c4:70:bd:78:b3:3c","c4:70:bd:78:b3:3c","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:dc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth2","PF","N/A","N/A","N/A","c4:70:bd:78:ba:1c","c4:70:bd:78:ba:1c","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:1a:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth3","PF","N/A","N/A","N/A","c4:70:bd:78:b5:20","c4:70:bd:78:b5:20","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:3c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth4","PF","N/A","N/A","N/A","c4:70:bd:78:ca:9c","c4:70:bd:78:ca:9c","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:4d:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth5","PF","N/A","N/A","N/A","c4:70:bd:78:b4:c8","c4:70:bd:78:b4:c8","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:5e:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth6","PF","N/A","N/A","N/A","c4:70:bd:78:b3:aa","c4:70:bd:78:b3:aa","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:9c:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth7","PF","N/A","N/A","bond0","2e:07:7e:5f:1c:b0","5c:25:73:2a:37:18","J5TP664","N/A","32.44.1036 (MT_0000000884)","up","SmartNIC","0000:9d:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth8","PF","N/A","N/A","bond0","2e:07:7e:5f:1c:b0","5c:25:73:2a:37:19","J5TP664","N/A","32.44.1036 (MT_0000000884)","up","SmartNIC","0000:9d:00.1","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
"pdx-g24r23-2894-dh2-w04","eth9","PF","N/A","N/A","N/A","c4:70:bd:33:5a:1e","c4:70:bd:33:5a:1e","J5TP664","N/A","32.44.1036 (MT_0000001069)","down","SuperNIC","0000:bc:00.0","Mellanox Technologies MT43244 BlueField-3 integrated ConnectX-7 network controller (rev 01)"
